Time of Record (Adjusted to Time Zone),Email,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
5/8/20 6:44 PM,0.7116742748513436,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Evening
5/8/20 6:45 PM,0.29391579396123757,Ok,i3: Eating and drinking,I want to,Evening,Inflow,Evening
5/8/20 6:47 PM,0.053546897334000865,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
5/8/20 6:47 PM,0.5230119531266414,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Evening
5/8/20 6:50 PM,0.10852475809758189,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Morning,Bi-Directional,Evening
5/8/20 6:55 PM,0.08750354953947204,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
5/8/20 6:56 PM,0.7782348362999689,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Evening
5/8/20 7:04 PM,0.2092499418422893,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
5/8/20 7:15 PM,0.003906290489614772,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
5/8/20 7:18 PM,0.5766835524276948,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Evening
5/8/20 7:39 PM,0.6593225488258994,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
5/8/20 7:45 PM,0.8695821654152704,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Evening
5/8/20 7:48 PM,0.306266188362607,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
5/8/20 7:50 PM,0.8428097364292039,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
5/8/20 8:00 PM,0.6593225488258994,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
5/8/20 8:00 PM,0.2620106905400832,Ok,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
5/8/20 8:04 PM,0.7731708725449643,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Evening
5/8/20 8:15 PM,0.7067347814443499,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
5/8/20 8:39 PM,0.0732407481040791,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Evening
5/8/20 8:39 PM,0.21399290811170335,Amazing,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Evening
5/8/20 9:00 PM,0.7219458495767971,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
5/8/20 9:08 PM,0.21399290811170335,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
5/8/20 9:08 PM,0.08750354953947204,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Evening,Bi-Directional,Night
5/8/20 9:11 PM,0.053546897334000865,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/8/20 9:23 PM,0.7154627748693038,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Night
5/8/20 9:39 PM,0.1891973955850632,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
5/8/20 9:47 PM,0.0732407481040791,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Night
5/8/20 9:54 PM,0.07166431874897428,Good,b4: Creative (e.g. painting),I want to and have to,Evening,Bi-Directional,Night
5/8/20 10:00 PM,0.7731708725449643,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Night
5/8/20 10:03 PM,0.11474372029382096,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Night
5/8/20 10:06 PM,0.33879887216117854,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/8/20 10:10 PM,0.306266188362607,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
5/8/20 10:15 PM,0.21399290811170335,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/8/20 10:15 PM,0.6478801025509782,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
5/8/20 10:16 PM,0.8428097364292039,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Night
5/8/20 10:24 PM,0.8695821654152704,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Night
5/8/20 10:41 PM,0.4679025128092601,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Night
5/8/20 10:44 PM,0.08750354953947204,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Night
5/8/20 11:28 PM,0.053546897334000865,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/9/20 12:05 AM,0.306266188362607,Amazing,"b9: Socializing (e.g., partying, meal)",I have to,Evening,Bi-Directional,Night
5/9/20 12:18 AM,0.7731708725449643,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Night
5/9/20 6:35 AM,0.5845256232710224,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Morning
5/9/20 8:03 AM,0.7067347814443499,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Morning
5/9/20 8:04 AM,0.2972751661913613,Good,i4: Exercise,I want to and have to,Morning,Inflow,Morning
5/9/20 8:11 AM,0.41432378521528046,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
5/9/20 8:18 AM,0.2092499418422893,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
5/9/20 8:39 AM,0.410892172765857,Amazing,i4: Exercise,I want to,Morning,Inflow,Morning
5/9/20 9:02 AM,0.5230119531266414,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
5/9/20 9:06 AM,0.7458435954362609,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
5/9/20 9:07 AM,0.5766835524276948,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
5/9/20 9:15 AM,0.053546897334000865,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Morning
5/9/20 9:46 AM,0.7259792119135012,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Morning
5/9/20 9:50 AM,0.21399290811170335,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
5/9/20 10:00 AM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Morning
5/9/20 10:15 AM,0.25970807074888325,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Morning
5/9/20 10:16 AM,0.7219458495767971,Good,i4: Exercise,I want to,Evening,Inflow,Morning
5/9/20 10:45 AM,0.07166431874897428,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
5/9/20 11:00 AM,0.7219458495767971,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
5/9/20 11:00 AM,0.4679025128092601,Ok,i4: Exercise,I want to,,Inflow,Morning
5/9/20 11:00 AM,0.306266188362607,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/9/20 11:01 AM,0.053546897334000865,Ok,"i7: Observation (e.g. strolling, birdwatching)",of something else; I neither want to nor have to,Evening,Inflow,Morning
5/9/20 11:08 AM,0.2681813060878999,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
5/9/20 11:14 AM,0.10852475809758189,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Morning
5/9/20 11:15 AM,0.41432378521528046,Amazing,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Morning
5/9/20 11:45 AM,0.7259792119135012,Amazing,"b8: Romantic (e.g., date)",I want to,,Bi-Directional,Morning
5/9/20 11:45 AM,0.8262523326828731,Good,i3: Eating and drinking,I want to,Evening,Inflow,Morning
5/9/20 11:48 AM,0.6478801025509782,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Morning
5/9/20 11:49 AM,0.7116742748513436,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Morning
5/9/20 11:53 AM,0.2620106905400832,Ok,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Morning
5/9/20 11:53 AM,0.2620106905400832,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Morning
5/9/20 11:54 AM,0.2620106905400832,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/9/20 11:55 AM,0.8428097364292039,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Morning
5/9/20 11:56 AM,0.7067347814443499,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Morning
5/9/20 11:57 AM,0.08750354953947204,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
5/9/20 11:58 AM,0.7116742748513436,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Morning
5/9/20 12:00 PM,0.29391579396123757,Amazing,i4: Exercise,I want to,Evening,Inflow,Afternoon
5/9/20 12:00 PM,0.8695821654152704,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
5/9/20 12:17 PM,0.25970807074888325,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Afternoon
5/9/20 12:32 PM,0.5845256232710224,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Afternoon
5/9/20 12:44 PM,0.7458435954362609,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
5/9/20 12:58 PM,0.5230119531266414,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
5/9/20 1:00 PM,0.7219458495767971,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Afternoon
5/9/20 1:00 PM,0.41432378521528046,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Morning,Inflow,Afternoon
5/9/20 1:04 PM,0.41432378521528046,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Afternoon
5/9/20 1:16 PM,0.7259792119135012,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
5/9/20 1:24 PM,0.7326786744928209,Good,i3: Eating and drinking,I want to,Evening,Inflow,Afternoon
5/9/20 1:25 PM,0.053546897334000865,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
5/9/20 1:40 PM,0.306266188362607,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Afternoon
5/9/20 2:21 PM,0.21399290811170335,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
5/9/20 2:24 PM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
5/9/20 2:35 PM,0.7219458495767971,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/9/20 2:49 PM,0.41432378521528046,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Afternoon
5/9/20 2:58 PM,0.08750354953947204,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
5/9/20 3:04 PM,0.7067347814443499,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
5/9/20 3:20 PM,0.306266188362607,Good,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
5/9/20 3:31 PM,0.08750354953947204,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
5/9/20 3:33 PM,0.8428097364292039,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/9/20 3:45 PM,0.8695821654152704,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
5/9/20 3:45 PM,0.21399290811170335,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to,Evening,Bi-Directional,Afternoon
5/9/20 3:46 PM,0.6593225488258994,Good,i3: Eating and drinking,I have to,Evening,Inflow,Afternoon
5/9/20 4:01 PM,0.8695821654152704,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
5/9/20 4:02 PM,0.7782348362999689,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Afternoon
5/9/20 4:30 PM,0.003906290489614772,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
5/9/20 4:30 PM,0.25970807074888325,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Afternoon
5/9/20 4:45 PM,0.7067347814443499,Bad,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/9/20 4:53 PM,0.4129775318972444,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Afternoon
5/9/20 4:58 PM,0.41432378521528046,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Morning,Inflow,Afternoon
5/9/20 5:00 PM,0.053546897334000865,Good,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Evening
5/9/20 5:21 PM,0.7458435954362609,Good,i4: Exercise,I want to and have to,Evening,Inflow,Evening
5/9/20 5:32 PM,0.29391579396123757,Good,i4: Exercise,I want to,Evening,Inflow,Evening
5/9/20 5:38 PM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
5/9/20 5:45 PM,0.08750354953947204,Awful,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
5/9/20 5:54 PM,0.8695821654152704,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Evening
5/9/20 5:56 PM,0.21399290811170335,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
5/9/20 5:57 PM,0.306266188362607,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
5/9/20 6:16 PM,0.6593225488258994,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
5/9/20 6:16 PM,0.41432378521528046,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
5/9/20 6:48 PM,0.08750354953947204,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
5/9/20 6:50 PM,0.6478801025509782,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Evening
5/9/20 7:01 PM,0.5230119531266414,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
5/9/20 7:04 PM,0.21399290811170335,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Evening,Bi-Directional,Evening
5/9/20 7:04 PM,0.2620106905400832,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
5/9/20 7:05 PM,0.053546897334000865,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
5/9/20 7:13 PM,0.306266188362607,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Evening,Bi-Directional,Evening
5/9/20 7:20 PM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
5/9/20 7:30 PM,0.07166431874897428,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Evening
5/9/20 7:47 PM,0.2092499418422893,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
5/9/20 8:15 PM,0.4679025128092601,Good,i3: Eating and drinking,I want to,,Inflow,Evening
5/9/20 8:18 PM,0.7067347814443499,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
5/9/20 8:32 PM,0.7731708725449643,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Evening
5/9/20 8:42 PM,0.08750354953947204,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
5/9/20 8:45 PM,0.25970807074888325,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
5/9/20 9:09 PM,0.410892172765857,Amazing,i3: Eating and drinking,I want to,Morning,Inflow,Night
5/9/20 9:13 PM,0.2620106905400832,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
5/9/20 9:13 PM,0.2620106905400832,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
5/9/20 9:14 PM,0.2620106905400832,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
5/9/20 9:14 PM,0.2620106905400832,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
5/9/20 9:22 PM,0.1891973955850632,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Night
5/9/20 9:50 PM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Night
5/9/20 10:15 PM,0.2620106905400832,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
5/9/20 10:16 PM,0.08750354953947204,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
5/9/20 10:25 PM,0.6478801025509782,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Night
5/9/20 10:45 PM,0.7731708725449643,Ok,i10: Inflow - Other,I want to,Evening,Inflow,Night
5/9/20 11:00 PM,0.25970807074888325,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/9/20 11:15 PM,0.21399290811170335,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/9/20 11:23 PM,0.6593225488258994,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/10/20 12:18 AM,0.306266188362607,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
5/10/20 12:19 AM,0.7731708725449643,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Night
5/10/20 4:11 AM,0.5845256232710224,Ok,b4: Creative (e.g. painting),of something else; I neither want to nor have to,Morning,Bi-Directional,Night
5/10/20 8:21 AM,0.7067347814443499,Amazing,"b7: Manual work (e.g., housework)",I want to,Morning,Bi-Directional,Morning
5/10/20 9:04 AM,0.2972751661913613,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
5/10/20 9:10 AM,0.053546897334000865,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
5/10/20 9:12 AM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
5/10/20 9:45 AM,0.7067347814443499,Good,i4: Exercise,I want to,Morning,Inflow,Morning
5/10/20 9:54 AM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Morning
5/10/20 10:00 AM,0.2972751661913613,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Morning
5/10/20 10:35 AM,0.08750354953947204,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
5/10/20 10:39 AM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
5/10/20 10:54 AM,0.7458435954362609,Good,i3: Eating and drinking,I want to,Evening,Inflow,Morning
5/10/20 10:59 AM,0.2620106905400832,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Morning
5/10/20 11:05 AM,0.5766835524276948,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
5/10/20 11:06 AM,0.053546897334000865,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Morning
5/10/20 11:07 AM,0.21399290811170335,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
5/10/20 11:12 AM,0.6593225488258994,Good,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Morning
5/10/20 11:15 AM,0.7067347814443499,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Morning
5/10/20 11:15 AM,0.7259792119135012,Good,i3: Eating and drinking,I want to,,Inflow,Morning
5/10/20 11:28 AM,0.306266188362607,Good,i4: Exercise,I want to,Evening,Inflow,Morning
5/10/20 12:00 PM,0.7219458495767971,Good,"b10: Spiritual (e.g., meditating, praying)",I want to,Evening,Bi-Directional,Afternoon
5/10/20 12:02 PM,0.8428097364292039,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
5/10/20 12:10 PM,0.08750354953947204,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
5/10/20 12:15 PM,0.5230119531266414,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
5/10/20 12:15 PM,0.33879887216117854,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
5/10/20 12:41 PM,0.21399290811170335,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
5/10/20 12:41 PM,0.21399290811170335,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
5/10/20 12:45 PM,0.4679025128092601,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
5/10/20 12:52 PM,0.5766835524276948,Good,"b7: Manual work (e.g., housework)",I have to,Morning,Bi-Directional,Afternoon
5/10/20 12:56 PM,0.053546897334000865,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Afternoon
5/10/20 1:00 PM,0.7067347814443499,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Morning,Bi-Directional,Afternoon
5/10/20 1:01 PM,0.7259792119135012,Amazing,"b9: Socializing (e.g., partying, meal)",I want to and have to,,Bi-Directional,Afternoon
5/10/20 1:01 PM,0.21399290811170335,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
5/10/20 1:06 PM,0.7731708725449643,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
5/10/20 1:14 PM,0.306266188362607,Amazing,i3: Eating and drinking,I want to,Evening,Inflow,Afternoon
5/10/20 1:35 PM,0.5845256232710224,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Afternoon
5/10/20 1:38 PM,0.2620106905400832,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/10/20 1:38 PM,0.2620106905400832,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Afternoon
5/10/20 1:39 PM,0.2620106905400832,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Afternoon
5/10/20 1:43 PM,0.6593225488258994,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Afternoon
5/10/20 1:46 PM,0.21399290811170335,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Afternoon
5/10/20 2:00 PM,0.8428097364292039,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/10/20 2:00 PM,0.7782348362999689,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/10/20 2:03 PM,0.2092499418422893,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/10/20 2:24 PM,0.0732407481040791,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
5/10/20 2:24 PM,0.21399290811170335,Bad,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Afternoon
5/10/20 2:30 PM,0.7259792119135012,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,,Bi-Directional,Afternoon
5/10/20 2:45 PM,0.4679025128092601,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to,,Bi-Directional,Afternoon
5/10/20 2:50 PM,0.21399290811170335,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
5/10/20 2:55 PM,0.7731708725449643,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
5/10/20 2:56 PM,0.306266188362607,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/10/20 3:22 PM,0.6478801025509782,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/10/20 3:22 PM,0.04207113480625202,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
5/10/20 3:22 PM,0.2620106905400832,Good,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
5/10/20 3:25 PM,0.2092499418422893,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/10/20 3:30 PM,0.5230119531266414,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Morning,Inflow,Afternoon
5/10/20 3:34 PM,0.053546897334000865,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Afternoon
5/10/20 3:46 PM,0.08750354953947204,Amazing,i4: Exercise,I want to,Evening,Inflow,Afternoon
5/10/20 3:50 PM,0.7782348362999689,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
5/10/20 4:17 PM,0.41432378521528046,Bad,i10: Inflow - Other,of something else; I neither want to nor have to,Morning,Inflow,Afternoon
5/10/20 4:27 PM,0.7067347814443499,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
5/10/20 4:30 PM,0.4679025128092601,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
5/10/20 4:30 PM,0.6478801025509782,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
5/10/20 4:32 PM,0.2972751661913613,Ok,i4: Exercise,I want to and have to,Morning,Inflow,Afternoon
5/10/20 4:42 PM,0.8428097364292039,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
5/10/20 4:49 PM,0.053546897334000865,Good,b11: Bi-directional - Other,I want to,Evening,Bi-Directional,Afternoon
5/10/20 5:03 PM,0.29391579396123757,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Evening
5/10/20 5:08 PM,0.306266188362607,Amazing,b11: Bi-directional - Other,I want to,Evening,Bi-Directional,Evening
5/10/20 5:25 PM,0.41432378521528046,Good,i4: Exercise,I want to and have to,Morning,Inflow,Evening
5/10/20 5:30 PM,0.8428097364292039,Ok,"b7: Manual work (e.g., housework)",I want to,Morning,Bi-Directional,Evening
5/10/20 5:30 PM,0.25970807074888325,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Evening
